id,job_title,company,location,experience_min,experience_max,salary_min,salary_max,skills,job_description,employment_type,industry,functional_area,role,posted_date
131,Assistant Manager - SAS Analytics,,Delhi NCR,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,SAS| Data Management| Data Analytics| Statistics| Analytics| SQL,,,"IT-Software, Software Services",Analytics & Business Intelligence,Analytics & BI,2019-08-04 18:44:33 +0000
132,Hiring for Adobe Analytics - Gurugram,,Delhi NCR,0,1,"5,00,000","15,00,000 PA.",Javascript| Ajax| JQuery| Adobe Analytics| Recruitment| Plugins| Sitecatalyst| Omniture| Hiring| Web Technologies,,,"IT-Software, Software Services","IT Software - Application Programming , Maintenance",Programming & Design,2019-07-04 21:42:54 +0000
133,Analytics Business Intelligence,,Pune,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,marketing executive| distributors| customer profiling| sales strategy| market research| Business Development| sales executive,,,"Recruitment, Staffing","Marketing , Advertising , MR , PR , Media Planning",Marketing,2019-07-06 14:30:53 +0000
134,Sr Business Analyst,,Bengaluru,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,R| Excel| SAS| Business Analyst| Analytical Skills| Web Technologies| Omniture| Web Analytics| Verbal Communication| SQL| Business Analysis| BA,,,"Recruitment, Staffing",Analytics & Business Intelligence,Analytics & BI,2019-08-05 23:29:55 +0000
135,ACN - Digital - Analytics - Customer and Channel Analytics - PRD-11,,Bengaluru,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Data analysis| Consulting| SQL| Data management| Web analytics| Analytical| SPSS| FMCG| Digital marketing| SDLC,,,"IT-Software, Software Services","ITES , BPO , KPO , LPO , Customer Service , Operations",Operations,2019-08-06 08:31:21 +0000
136,Microsoft Advanced Analytics,,Bengaluru,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Technical Architect|advanced analytics|Machine learning|System software|Outsourcing|Technical architecture|Business intelligence|microsoft|Operations|SQL,,,IT-Software / Software Services,"IT Software - Application Programming , Maintenance",Programming & Design,2019-08-05 08:56:31 +0000
137,Marketing Data Analyst,,Bengaluru,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Product Management| Marketing Campaigns| Digital Marketing| Data Analyst| Digital Analytics| Deep Learning| R| Sales| Excel| Data Analysis| Data Modeling| Consumer Insights| Python,,,"Internet, Ecommerce","Marketing , Advertising , MR , PR , Media Planning",Marketing,2019-08-04 18:30:22 +0000
138,Data Analytics / Reporting/ Machine Learning,,Bengaluru,0,1,"13,00,000","20,00,000 PA.",analytics reporting| R| data analytics| SAS| operational risk| data visualization| Machine Learning| SQL,,,"Banking, Financial Services, Broking",Analytics & Business Intelligence,Senior Management,2019-08-06 02:09:55 +0000
139,Head Analytics_NBFC Link Success,,Mumbai,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Logistic regression| SAS| Data management| data science| NBFC| Analytics,,,"Strategy, Management Consulting Firms",IT Software - Other,Senior Management,2019-08-06 07:58:51 +0000
140,Executive/senior Executive - Performance Management/analytics,,Gurgaon (Cyber City),0,1,"Up to INR 7,50,000","Up to INR 7,50,000",Performance Management| SQL| Data Analysis| Data Analytics| Advanced Excel,,,"Travel , Hotels , Restaurants , Airlines , Railways",Analytics & Business Intelligence,Other,2019-07-04 08:18:58 +0000
141,Business Analyst - Healthcare,,Chennai,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,process documentation| business analysis| agile| JIRA| communication skills,,,"IT-Software, Software Services",Analytics & Business Intelligence,Analytics & BI,2019-08-04 02:21:14 +0000
142,PMO Data Analyst,,Mumbai,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Data analysis| SQL| Advanced Excel| Root cause analysis| Excel| MS Access| Data Analyst| Python| Database| VBA,,,"IT-Software, Software Services","ITES , BPO , KPO , LPO , Customer Service , Operations",Back Office/Web/Transaction Processing,2019-07-06 07:25:25 +0000
143,LTI Requirement - Business Analyst Ingenium,,Mumbai,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,ingenium,,,"IT-Software, Software Services","IT Software - Application Programming , Maintenance",System Design/Implementation/ERP/CRM,2019-08-04 20:24:27 +0000
144,Technical Lead- Analytics,,Bengaluru,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,C#| Java| C++| Algorithms| RDBMS| Aerospike| Data Structures| PHP| Erlang| Python,,,"Internet, Ecommerce","IT Software - Application Programming , Maintenance",Programming & Design,2019-08-04 12:43:30 +0000
145,"Analytics Lead, Manufacturing",,Bengaluru,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,operations| sql| intelligence| tuning| data| system architecture| consulting| machine learning| prognosis,,,"Recruitment, Staffing",IT Software - Other,Programming & Design,2019-08-06 05:13:31 +0000
146,Consultant II/ Senior Consultant - Social Media Analytics - IIM/ IIT,,Bengaluru,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,WordPress| Social Media| Web Analytics| Consultant| Marketing Analytics| SEO| Analytics,,,"IT-Software, Software Services","Marketing , Advertising , MR , PR , Media Planning",Online/Digital Marketing,2019-07-04 08:19:45 +0000
147,Looking Business Analyst/Sr. Business Analyst for IT Co.-Ahmadabad,,Ahmedabad,0,1,"3,00,000","5,50,000 PA.",business analysis| Presales,,,"IT-Software, Software Services",Analytics & Business Intelligence,Analytics & BI,2019-07-05 12:57:29 +0000
148,Business Analyst,,Pune,0,1,"3,00,000","3,50,000 PA.",Technical Documentation| requirement gathering| database| Business Analyst| SRS| Visio| business consultant| Technical Specifications| IT - Software| Business Analysis,,,"IT-Software, Software Services","IT Software - Application Programming , Maintenance",System Design/Implementation/ERP/CRM,2019-08-04 18:32:31 +0000
149,Business Analyst,,Noida,0,1,"9,00,000","19,00,000 PA.",Business Forecasting| Business Intelligence| New Market Penetration| Market Study| Data Manipulation| Data Analysis| Cost Benefit Analysis| Dashboards| Market Research| Business Analysis,,,"Banking, Financial Services, Broking","Financial Services , Banking , Investments , Insurance",Card Products,2019-08-04 17:05:00 +0000
150,Analytics Technical Lead job Opening with one of the MNC in Mumbai,,Mumbai,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,SQL| PLSQL| PL| Data Integration| Data Modeling| Effort Estimation| Design Development| Data Processing| Business Intelligence| Pentaho| Spark| Software Architecture,,,"IT-Software, Software Services","IT Software - Application Programming , Maintenance",Programming & Design,2019-07-05 21:34:11 +0000
151,Business Data Analyst,,Chennai,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Computer science| MIS reporting| data services| Business Analyst| Rational rose| Analytical| Data quality| Visio| SQL,,,Publishing,"IT Software - Application Programming , Maintenance",System Design/Implementation/ERP/CRM,2019-08-05 22:14:59 +0000
152,Finance-data Analyst : 2-3 year : Bangalore: Flexible for Shift,,Bengaluru,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Variance analysis,,,"IT-Software, Software Services",Other,,2019-07-06 10:53:11 +0000
153,Amazon is Hiring for Business Analyst Role,,Bengaluru,0,1,Openings: 1,Openings: 1,time series analysis|tableau|sas|marketing analytics|forecasting|business analysis|segmentation|statistical analysis|sql,,,Internet / Ecommerce,Analytics & Business Intelligence,Analytics & BI,2019-07-04 09:04:27 +0000
154,AIM C10 SBS APAC BA & I Digital analytics,,Bengaluru,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Risk management| Portfolio management| Process design| Risk analytics| Analytical| Credit cards| Stakeholder management| Macros| Data warehousing,,,"Banking, Financial Services, Broking","Financial Services , Banking , Investments , Insurance",Financial Services/Stock Broking,2019-08-06 05:31:42 +0000
155,Data Analyst I,,Pune,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Telecom| Data analysis| Excel| MS Outlook| Inspection| Database| Data Analyst| professional services| Research| Vendor,,,"Telcom, ISP","ITES , BPO , KPO , LPO , Customer Service , Operations",Operations,2019-07-06 08:58:23 +0000
