uniq_id,posted_date,job_title,salary_raw,experience_raw,skills,role,location,functional_area,industry,company,job_description,employment_type,experience_min,experience_max,salary_min,salary_max
f2ffa446f7cf1779869e3706a2bb6d23,2019-08-04 14:21:50 +0000,Assistant Manager/ Manager - Business Analyst/sas - Consulting Firm, Not Disclosed by Recruiter ,2 - 7 yrs,SAS| Data Management| Statistical Modeling| Statistics| Analytics| SQL| Business Analysis,Analytics & BI,Bengaluru,Analytics & Business Intelligence,"Strategy, Management Consulting Firms",,,,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter
d1917d921e2e2841dc8870a3314232f5,2019-08-04 02:27:55 +0000,Assistant Manager – Data Analysis & Reporting Role, Not Disclosed by Recruiter, 3 - 7 Years,tableau|data analysis|design development|vba|ms sql server|management reporting|sql,"EXL (Nasdaq:EXLS) is a leading business process solutions company that helps companies drive business impact and adapt faster to the changing global marketplace. EXL provides operations management, embedded analytics and technology platforms to organizations in the banking and financial services, healthcare, insurance, utilities, transportation and logistics, and travel industries. With more than 21,000 people around the world, we work with our clients as strategic partners to execute operations, identify opportunities to gain a competitive edge, and create new channels for growth and savings. Headquartered in New York and operational since 1999, EXL is present in the U.S., U.K., Singapore, Romania, the Philippines, India, Germany, Czech Republic and Bulgaria. For more information, visit www.exlservice.com.",Noida,Other,KPO / Research / Analytics,,,,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter
ee841eaee54d9f4a15831293f9f44724,2019-07-05 09:48:58 +0000,Urgent Req- .Net Developerfreshers)-decimal Point Analytics-mumbai, Not Disclosed by Recruiter ,0 - 0 yrs,btech freshers| mca fresher,Programming & Design,Mumbai,"IT Software - Application Programming , Maintenance","KPO, Research, Analytics",,,,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter
33927d717b5b53fb06b00d76f36150b6,2019-07-04 23:29:03 +0000,Business Analyst - Finance, Not Disclosed by Recruiter ,12 - 14 yrs,FINANCE| ACCOUNTS| CA,,Mumbai,Other,Other,,,,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter
71b9d773ea800c3810950d9d74b1e62b,2019-08-06 08:53:27 +0000,Senior Business Analyst Digital Innovation, Not Disclosed by Recruiter ,13 - 17 yrs,Business Analyst| Agile development| Production| Agile| Advocate| digital transformation| Product strategy,System Design/Implementation/ERP/CRM,Bengaluru,IT Software - Other,"IT-Software, Software Services",,,,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter
95f4c0188e5c1b563bfe3bc2b3c1ff0e,2019-08-04 14:04:40 +0000,Data Analyst or Analyst," 5,00,000 - 13,00,000 PA. ",2 - 4 yrs,Analyst| Product enhancement| Customer experience| e - Commerce| conversion,Analytics & BI,Chennai,Analytics & Business Intelligence,"KPO, Research, Analytics",,,,0,1,"5,00,000","13,00,000 PA."
79d64eb9c8f903cbb1964e6c73fe8a25,2019-08-06 06:07:11 +0000,Business Analyst I, Not Disclosed by Recruiter ,5 - 8 yrs,Outbound| Data analysis| SAS| Troubleshooting| VB| Analytics| Financial services| SQL| Auditing,System Design/Implementation/ERP/CRM,Mumbai,"IT Software - Application Programming , Maintenance","Banking, Financial Services, Broking",,,,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter
931c897cc7c0ee0e348a35cae70f7459,2019-08-04 22:17:37 +0000,UI UX Designer For Analytics MNC in Chennai, Not Disclosed by Recruiter ,3 - 6 yrs,css| storyboarding| ux| ui designer| wireframing| photoshop| rendering| process flow| graphic designing| user interface designer| illustration| html| web designing| corel draw| illustrator,Programming & Design,Chennai,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",,,,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter
10e33cb53ad7450b5afcf0e81bc0df45,2019-07-06 03:31:06 +0000,Healthcare Jobs In Gurgaon Business Analyst, Not Disclosed by Recruiter ,5 - 8 yrs,Business Analyst| Healthcare| Software design| Software services| Process improvement| Software| Bsc| Education| Technical,System Design/Implementation/ERP/CRM,Gurgaon,IT Software - Other,"Recruitment, Staffing",,,,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter
5534ded71b2c11deeee1d7209f8d5eca,2019-07-06 10:06:42 +0000,Excellent Opportunity in Data Analytics [bangalore," 16,00,000 - 20,00,000 PA. ",11 - 13 yrs,etl| data modeling| data visualization| data warehousing| dw| data analytics| sas| data reporting| data analysis| cloud| Bi| Big Data,Analytics & BI,Bengaluru,Analytics & Business Intelligence,"Banking, Financial Services, Broking",,,,0,1,"16,00,000","20,00,000 PA."
5e9e32d8a2af94d83f37b8ad900ae87e,2019-08-04 14:14:40 +0000,SBA/ AM - Model Validation - SAS Predictive Modelling/ Analytics, Not Disclosed by Recruiter ,2 - 6 yrs,Predictive Modeling| Logistic Regression| Excel| SAS| Business Analyst| Segmentation| Banking| Model Validation| Clustering| Statistics| Analytics,Analytics & BI,Gurgaon,Analytics & Business Intelligence,"IT-Software, Software Services",,,,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter
dbf1608b685a6af601bf3e282093adbe,2019-07-04 17:45:15 +0000,AWS Architect - Data & Analytics, Not Disclosed by Recruiter ,1 - 4 yrs,Data Analytics| Big Data,Programming & Design,Pune,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",,,,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter
1881072a2b718466673ad2f41e5dbde5,2019-08-06 01:54:03 +0000,"Senior Business Analyst,- IT Service Managment", Not Disclosed by Recruiter ,5 - 10 yrs,Computer science| IT procurement| Business Analyst| Project management| Analytical| Market intelligence| ITSM| Portfolio management| Operations| Analytics,System Design/Implementation/ERP/CRM,Hyderabad,"IT Software - Application Programming , Maintenance","Advertising, PR, MR, Event Management",,,,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter
